Radius;Image1;Image2;Image3;Image4; Image5;Image6;Image7;Image8;Image9;Image 10;Image11;Image12;Image13;Image14;Image15;Image16;Image17;Image18;Image19;Image20;Image21
10;4;1;7;7;6;2;6;1;5;5;2;7;7;7;3;4;4;3;2;5;7
11;4;1;7;7;7;5;7;2;7;6;4;6;9;10;4;6;4;5;4;10;9
12;3;3;5;9;8;6;4;2;7;10;6;4;13;7;5;5;3;9;3;7;8
13;3;5;8;9;10;8;8;4;3;9;5;6;14;9;6;6;3;14;2;7;6
14;3;7;7;7;16;8;10;4;4;9;7;8;11;7;4;6;3;11;5;7;12
15;3;4;8;6;10;7;12;5;4;6;7;6;11;9;4;11;6;8;4;9;8
16;3;4;7;7;11;8;8;10;5;13;7;7;9;5;9;16;4;10;6;8;6
17;4;7;8;6;19;6;10;11;4;14;6;7;11;9;8;17;7;12;11;8;6
18;3;7;5;8;16;5;14;9;5;16;5;8;11;11;7;15;9;11;10;9;4
19;4;10;6;7;17;8;19;15;6;16;5;6;13;6;8;24;6;8;14;8;5
20;4;7;6;7;14;11;11;13;4;16;6;8;16;15;8;19;6;7;10;12;3
21;3;7;5;8;17;11;13;14;6;10;6;4;19;12;4;17;8;9;7;9;4
22;3;9;6;4;27;14;10;12;6;8;6;5;10;10;10;19;5;13;7;13;3
23;4;10;5;6;33;11;11;12;5;8;8;7;8;12;9;27;6;8;6;16;4
24;3;11;7;7;36;10;7;14;6;7;8;10;12;14;7;19;5;10;8;11;4
25;7;7;6;5;39;12;5;16;6;12;7;8;11;13;10;20;5;10;10;17;4
26;4;7;6;6;36;15;5;12;6;9;7;7;8;12;7;16;11;16;8;15;6
27;4;7;5;5;37;12;3;13;5;10;9;7;10;13;7;18;7;23;8;17;5
28;4;6;5;5;37;10;3;10;4;7;7;8;14;13;8;20;9;20;9;15;5
29;4;8;7;7;34;10;4;10;4;8;9;7;12;10;6;17;6;23;8;10;3
30;3;7;7;5;31;12;4;10;5;8;9;10;11;8;6;13;5;27;8;13;4
31;5;12;7;3;22;11;4;10;3;4;11;4;11;10;7;13;7;22;6;11;4
32;4;8;9;3;14;12;2;11;5;4;10;6;9;12;8;14;7;21;5;7;4
33;7;4;9;3;14;15;1;12;4;3;9;9;8;11;7;9;7;20;11;7;5
34;13;3;6;7;16;14;1;12;3;3;8;8;9;10;5;11;6;17;2;7;4
