Radius;Image62;Image63;Image64;Image65;Image66;Image67;Image68;Image69;Image70;Image71;Image72;Image73;Image74;Image75;Image76;Image77;Image78;Image79;Image80;Image81
10;2;6;7;11;4;1;9;2;3;6;10;1;4;6;8;6;5;5;5;1
11;2;6;13;8;3;1;7;2;3;6;15;1;5;12;7;5;4;6;3;1
12;2;9;19;4;3;1;8;3;2;6;12;3;5;15;7;10;4;4;4;1
13;2;7;6;6;3;2;8;3;2;5;8;4;5;18;7;9;3;4;3;1
14;2;7;5;4;3;2;8;5;3;7;12;4;5;13;8;7;3;5;3;1
15;2;12;6;8;5;4;9;5;5;7;6;8;10;9;6;7;3;5;4;4
16;2;11;6;6;4;4;5;5;7;8;9;7;9;9;6;5;5;6;6;6
17;2;5;4;8;4;4;12;5;4;9;10;10;7;7;6;5;9;4;5;7
18;2;8;5;7;5;6;9;5;4;8;8;9;10;10;4;6;7;10;8;12
19;2;8;4;6;3;5;8;3;4;8;5;9;5;13;4;8;9;8;6;9
20;2;9;5;6;3;4;10;3;6;6;9;10;6;13;6;7;7;13;5;10
21;2;10;3;5;6;6;16;6;5;7;14;10;6;13;3;4;5;12;4;12
22;2;6;3;3;3;10;11;4;5;9;3;8;5;10;2;4;5;13;5;13
23;4;15;3;3;3;7;11;10;5;10;9;8;10;10;3;3;5;13;4;15
24;4;11;3;6;4;12;9;4;6;9;10;9;7;16;6;4;5;13;4;10
25;4;13;3;7;3;5;12;4;5;6;6;7;9;17;6;6;6;11;6;7
26;6;10;4;5;3;6;7;5;5;9;11;9;9;10;4;8;7;5;5;5
27;5;5;4;7;3;7;11;7;4;9;13;11;7;12;6;5;6;10;4;4
28;5;6;3;7;4;7;11;6;5;10;8;11;10;11;7;4;6;8;5;8
29;5;4;3;9;3;7;16;9;7;7;9;8;8;14;4;4;5;12;4;6
30;5;6;3;6;3;8;12;5;5;5;10;9;8;15;7;6;5;9;4;7
31;6;6;3;5;3;6;15;6;5;3;14;8;5;15;11;8;5;10;4;6
32;5;5;3;6;3;6;21;9;4;6;9;8;4;14;9;6;6;12;4;6
33;6;6;3;5;3;8;9;5;4;5;10;7;4;10;6;6;7;13;5;4
34;5;11;3;4;3;9;14;7;4;5;7;6;4;11;6;6;5;10;5;2
35;5;7;3;9;3;7;11;6;6;4;5;4;4;7;6;5;6;13;5;7
36;5;7;3;5;4;7;11;5;5;4;8;9;6;6;9;5;5;16;7;4
37;5;7;3;5;4;8;12;7;5;5;10;4;5;6;13;7;5;10;5;8
38;5;7;3;4;3;7;10;6;5;4;10;4;3;11;19;4;4;13;5;6
39;5;5;3;3;3;4;11;7;6;5;9;5;5;10;12;5;4;11;8;9
40;7;7;4;4;3;6;13;7;5;5;8;5;5;6;6;5;4;11;10;8
41;6;5;4;4;3;4;12;7;6;5;9;5;5;5;12;4;3;8;9;8
42;3;3;4;3;6;4;12;6;6;5;7;5;5;6;10;4;4;14;7;8
43;3;5;5;5;5;3;10;3;5;3;4;5;6;6;12;4;3;15;7;7
44;3;5;4;4;6;5;9;5;6;5;6;5;5;7;11;5;2;13;6;9
45;3;4;4;5;5;3;11;3;8;4;7;5;7;4;7;6;2;13;7;8
46;3;6;4;5;7;4;10;4;10;3;5;6;5;6;8;6;2;13;7;3
47;3;10;6;7;5;4;10;3;6;3;6;8;4;5;6;5;2;15;6;2
48;3;5;4;7;5;4;14;4;7;2;15;5;5;7;7;5;2;15;6;2
49;3;5;3;11;5;3;12;3;9;2;9;6;4;6;5;3;2;15;7;3
50;3;3;3;12;3;3;9;3;10;3;6;6;5;3;9;3;2;14;9;2
51;3;5;4;8;3;2;16;4;10;3;6;6;5;3;4;3;2;13;10;4
52;2;7;6;11;3;2;14;4;9;2;6;9;7;2;4;4;2;13;6;3
