Radius;Image138;Image139;Image140;Image141;Image142;Image143;Image144;Image145;Image146;Image147;Image148;Image149;Image150;Image151;Image152;Image153;Imag154;Image155;Image156;Image157;Image158;Image159;Image160;Image161
10;3;1;3;4;3;5;11;4;6;7;1;1;8;6;6;1;1;1;9;7;5;9;9;3
11;1;2;6;6;10;8;10;12;10;5;1;1;11;12;6;1;4;1;9;7;8;9;9;9
12;1;5;7;5;8;12;10;16;12;8;1;1;10;10;8;2;6;1;13;6;6;9;9;8
13;3;10;6;6;6;12;10;12;7;7;1;1;14;10;8;2;10;1;15;7;7;11;10;10
14;3;9;8;5;4;9;12;10;6;12;1;2;11;12;7;3;8;1;11;9;4;12;12;6
15;3;11;7;5;11;7;11;14;3;15;2;3;15;9;8;5;8;1;9;8;6;13;13;10
16;6;12;5;4;9;5;11;14;10;19;6;3;11;9;7;4;6;1;15;8;7;8;13;8
17;7;11;6;5;13;6;13;16;11;22;3;3;10;12;10;4;14;1;14;9;5;11;13;14
18;8;15;8;7;11;10;10;23;12;24;4;8;11;14;8;7;8;1;14;11;8;11;9;12
19;12;14;6;4;14;9;10;19;16;27;9;10;10;19;10;4;9;1;10;11;9;11;7;10
20;11;15;8;5;11;11;8;20;17;21;11;8;16;16;12;3;7;8;13;8;14;9;8;11
21;11;14;11;5;12;15;11;17;23;19;17;14;17;23;12;7;5;6;12;13;9;9;9;13
22;12;18;7;5;12;13;11;15;18;24;17;12;11;16;13;9;9;8;11;6;6;8;8;10
23;13;13;10;5;12;13;8;13;15;22;15;13;12;16;13;11;8;16;10;7;12;11;7;13
24;12;14;12;5;14;13;11;13;19;25;12;12;13;11;14;9;11;10;7;11;9;7;7;14
25;17;11;8;5;6;15;8;9;14;21;19;12;8;19;16;13;18;13;7;10;9;8;8;9
26;11;9;8;6;5;14;8;11;14;25;18;13;11;17;15;15;15;14;6;11;10;10;9;8
27;16;13;11;6;5;19;7;11;12;22;21;12;10;16;18;20;15;10;8;12;9;6;8;13
28;15;13;11;5;9;10;7;11;16;33;24;9;8;21;19;20;15;18;7;10;7;8;9;14
29;17;9;10;5;8;12;6;7;18;24;17;7;8;19;15;21;25;20;7;9;9;14;9;22
