Radius;Image22;Image23;Image24;Image25;Image26;Image27;Image28;Image29;Image30;Image31;Image32;Image33;Image34;Image35;Image36;Image37;Image38;Image39;Image40;Image41v;Image42;Image43;Image44;Image45;Image46;Image47;Image48
10;1;3;5;1;2;8;2;5;1;1;3;1;1;1;1;4;9;6;1;9;1;1;4;1;1;5;1
11;1;4;8;1;6;10;1;6;2;4;4;1;2;1;1;17;8;7;2;15;3;1;1;2;3;6;1
12;3;5;5;1;4;10;4;7;2;9;5;2;1;4;4;21;10;12;3;14;6;1;4;2;6;9;1
13;4;5;10;1;4;16;6;5;2;8;6;3;5;3;8;19;13;13;6;19;4;4;5;10;9;15;2
14;5;10;13;1;6;14;11;3;2;11;6;5;6;7;6;27;11;15;9;18;14;3;9;11;12;12;3
15;8;9;10;1;11;10;13;6;2;11;8;13;5;12;7;25;10;20;12;22;11;16;11;7;11;12;5
16;12;6;15;1;9;8;10;7;2;12;12;13;6;15;9;24;9;23;9;25;17;15;11;6;5;12;4
17;13;9;12;3;12;12;13;11;3;14;9;18;9;18;8;33;13;25;14;27;18;16;15;12;13;21;6
18;12;8;10;6;11;14;17;8;5;15;8;15;13;18;5;27;13;23;12;27;20;9;19;11;7;28;7
19;13;9;18;5;14;9;19;13;7;16;8;16;13;18;16;28;9;19;15;26;16;15;16;13;11;23;15
20;16;12;15;8;14;13;10;15;4;17;9;23;22;27;13;41;6;24;16;28;23;17;19;13;12;25;16
21;14;11;13;8;11;16;14;20;7;18;10;27;23;26;9;40;10;20;16;32;20;25;18;13;13;33;20
22;16;19;13;10;18;14;14;15;9;12;18;33;28;28;12;45;10;21;17;31;26;24;21;11;11;40;20
23;18;15;17;16;19;20;20;13;14;18;23;33;21;30;13;44;7;28;15;32;30;22;21;16;9;36;25
24;18;15;15;16;12;21;19;16;15;19;20;23;30;24;11;56;11;24;13;45;25;32;23;11;9;31;24
25;20;15;17;12;14;23;21;12;17;19;20;19;22;27;8;62;10;22;20;35;22;26;25;12;16;22;25
26;19;18;17;16;16;20;21;15;20;19;21;35;24;28;12;56;13;22;17;35;21;25;22;18;12;26;31
27;17;13;21;16;15;20;22;11;21;16;19;36;18;25;11;47;14;24;18;42;22;30;29;19;13;27;25
28;14;17;17;11;22;15;19;18;22;14;12;28;27;29;8;47;16;28;27;38;26;29;28;14;12;29;32
29;19;16;15;9;19;14;21;13;19;20;15;21;21;30;7;39;16;23;22;42;30;27;37;16;14;30;29
30;17;9;17;13;13;20;16;18;25;16;15;19;23;23;16;40;16;25;23;40;25;29;33;15;17;27;29
31;17;15;18;13;18;26;9;22;19;14;15;24;25;17;14;42;20;21;27;35;21;26;36;15;18;22;29
32;21;14;18;12;12;25;13;15;21;14;17;24;28;14;13;38;16;23;32;35;22;30;30;17;18;28;28
33;23;16;19;9;18;24;12;11;19;16;15;30;26;20;10;47;18;29;24;36;20;37;28;17;21;26;27
34;22;15;23;11;16;30;13;15;18;18;15;25;28;19;10;48;19;28;29;36;24;35;31;19;25;23;30
35;23;21;21;11;21;30;10;18;21;13;14;25;33;12;9;41;23;20;25;37;26;31;32;21;24;26;28
36;18;16;17;21;14;35;10;24;16;13;13;30;30;22;16;34;16;23;15;39;22;33;25;17;27;30;29
37;26;15;18;9;16;24;11;19;14;17;12;35;32;20;18;38;16;25;15;36;19;26;26;25;27;39;35
38;23;18;22;11;11;31;9;17;13;18;16;23;34;15;18;39;18;28;19;34;15;23;28;17;27;27;26
39;25;13;26;16;13;41;10;20;18;16;17;17;25;15;22;35;10;25;22;26;16;25;25;22;29;29;33
40;25;16;20;13;18;37;14;18;18;23;18;22;21;16;22;39;10;29;20;29;14;30;30;19;29;36;27
41;22;20;21;14;16;40;15;15;16;17;22;26;24;13;21;47;9;25;18;32;13;31;35;24;24;35;39
42;25;24;20;16;16;35;9;16;13;16;17;23;23;13;17;40;11;34;20;30;16;40;33;25;26;35;37
43;23;18;19;16;22;37;13;10;15;16;21;27;28;21;16;36;12;28;18;23;15;34;27;24;30;40;35
44;25;20;23;15;19;35;11;11;20;14;24;17;29;13;17;39;10;31;17;21;14;34;30;22;29;37;37
45;22;26;20;18;18;36;7;13;19;16;17;20;29;10;20;43;11;27;18;21;19;33;25;23;38;35;35
46;28;24;19;16;22;38;12;11;22;11;22;26;34;12;15;39;10;29;22;21;19;28;20;19;28;32;29
47;28;23;15;25;18;35;9;14;22;16;21;26;31;11;17;36;17;33;19;22;14;30;24;14;36;28;31
48;25;21;18;19;15;37;13;14;19;18;19;21;34;11;16;35;13;29;16;19;21;31;25;15;32;33;33
49;26;20;15;22;21;34;12;15;21;11;30;20;31;12;17;36;12;27;19;23;17;28;30;14;28;32;38
50;27;16;22;18;22;32;11;19;25;19;25;24;34;12;18;41;17;23;19;21;21;25;29;9;29;30;34
51;22;11;23;23;22;32;9;15;18;18;21;22;39;10;15;43;14;21;14;22;20;25;27;8;34;26;39
52;21;16;27;31;22;36;10;26;17;21;17;26;41;9;11;37;18;22;14;25;15;31;22;18;39;27;39
53;21;17;29;33;23;30;8;19;17;19;14;24;40;6;15;41;16;23;10;23;14;27;22;14;31;28;42
54;18;9;31;29;19;30;8;19;17;20;16;29;33;4;16;35;13;17;16;21;12;33;27;15;33;30;40
55;20;19;29;29;15;28;9;23;14;18;16;22;33;6;17;41;11;22;23;25;12;25;21;10;31;25;39
56;19;13;22;35;12;25;10;23;19;24;13;22;34;6;18;38;15;21;15;26;11;21;30;8;28;33;35
57;21;10;21;30;20;24;8;18;14;25;10;17;28;8;19;36;11;21;17;22;8;23;28;8;24;32;48
58;20;16;18;33;13;27;12;16;12;19;13;19;31;9;19;37;8;21;20;21;9;23;28;10;28;33;50
59;20;14;20;29;9;20;11;19;12;14;10;16;27;7;21;39;11;22;16;22;9;29;25;10;25;45;42
60;18;13;22;31;8;16;9;20;12;15;7;21;29;6;14;37;11;19;12;17;7;15;28;6;30;51;39
61;20;13;22;29;10;19;8;18;11;16;6;20;26;8;12;39;11;19;16;12;7;21;28;6;30;50;43
62;15;16;18;31;11;25;9;27;11;18;9;18;25;9;12;39;13;18;13;19;8;21;20;7;32;43;48
63;13;15;21;31;10;21;8;18;10;14;7;15;24;7;19;38;14;17;11;20;8;18;27;7;27;37;44
64;14;15;15;28;7;16;11;26;10;12;6;25;24;7;22;34;9;16;9;21;9;17;23;3;27;39;51
65;17;18;14;33;7;17;8;23;8;16;9;24;20;7;19;31;15;18;9;21;9;13;17;4;30;38;42
66;14;15;15;32;6;14;7;18;10;19;7;16;19;8;21;19;13;13;9;17;5;13;17;4;32;38;46
67;13;14;18;31;7;10;7;20;7;22;9;15;13;8;20;18;10;15;7;13;8;16;16;3;21;35;42
68;11;15;22;19;8;11;10;17;7;20;11;18;12;10;19;21;11;14;6;11;6;12;13;4;26;35;38
69;13;8;18;18;12;10;15;20;8;18;12;18;11;13;18;25;10;17;6;16;5;19;11;3;35;31;37
70;12;7;18;17;9;11;14;16;6;14;10;15;14;8;21;15;9;15;8;16;6;19;13;3;26;28;38
