Radius;Image42;Image43;Image44;Image45;Image46;Image47;Image48;Image49;Image50;Image51;Image52;Image53;Image54;Image55;Image56;Image57;Image58;Image59;Image60;Image61
10;1;2;6;10;5;9;3;2;6;8;5;5;1;2;3;8;2;9;4;8
11;1;3;8;18;5;5;3;4;2;9;5;5;3;6;5;7;5;6;4;12
12;6;2;5;14;7;7;2;4;2;10;4;5;5;6;4;9;6;14;3;11
13;4;4;7;13;7;7;2;3;2;12;4;6;3;7;6;14;7;15;4;10
14;4;7;6;15;8;10;2;4;2;9;5;6;3;11;7;13;9;12;4;13
15;5;8;5;11;9;6;2;4;5;6;6;5;4;5;10;17;6;16;9;9
16;5;11;3;16;7;7;2;3;6;8;4;3;5;9;9;16;4;17;6;11
17;7;8;4;17;7;6;3;4;5;8;3;5;5;6;7;15;3;22;6;11
18;6;11;7;13;6;6;5;4;4;11;4;5;11;9;6;13;4;26;4;7
19;7;11;7;16;5;4;3;3;4;11;3;6;8;3;13;13;7;27;3;7
20;6;11;8;12;7;4;3;4;3;12;4;8;5;5;15;11;11;22;6;3
21;7;11;9;13;5;5;3;3;5;12;3;9;7;6;19;10;5;22;6;8
22;6;12;8;22;6;5;4;3;8;8;3;6;10;8;26;11;5;19;7;10
23;7;14;7;12;5;2;4;3;9;10;4;6;7;5;28;12;4;16;8;13
24;10;15;4;16;7;5;3;3;9;13;6;7;7;5;24;12;4;17;6;16
25;12;12;10;15;7;8;3;3;10;11;3;8;10;3;29;9;3;18;5;12
26;11;14;6;11;6;9;4;4;3;15;3;6;11;4;32;12;4;15;6;15
27;10;10;7;13;6;10;3;3;3;9;4;4;7;4;30;10;4;10;7;18
28;10;14;8;19;5;4;3;5;5;8;4;4;8;3;36;7;7;13;4;18
29;7;14;5;13;6;12;3;2;4;14;4;3;9;4;26;8;5;14;6;23
30;7;15;9;16;5;6;3;4;4;11;5;2;9;4;21;7;4;13;6;19
31;7;15;8;19;7;8;3;2;3;14;6;2;6;4;22;3;5;10;6;16
32;9;18;11;18;6;6;4;2;2;10;5;4;5;3;25;5;6;15;4;17
33;7;18;8;16;7;7;4;2;2;8;5;4;4;4;25;6;8;10;4;15
34;8;17;7;17;6;9;4;2;2;9;7;2;5;3;21;6;6;14;4;15
35;7;15;3;15;11;7;4;2;2;11;5;2;7;4;21;6;7;10;5;14
36;6;13;5;13;8;6;4;2;2;11;5;2;6;3;16;4;5;8;5;10
37;7;16;5;16;10;6;3;3;3;11;5;2;6;3;19;4;7;11;5;12
38;8;15;4;7;9;11;4;2;2;10;8;2;5;5;19;7;7;11;6;12
39;8;19;7;9;5;8;2;3;4;12;7;2;6;5;15;6;7;14;8;10
40;7;15;4;7;7;8;2;3;4;8;6;2;5;5;16;10;5;12;7;10
41;9;19;2;9;7;5;2;3;2;7;6;2;5;3;19;12;7;8;6;11
42;9;13;4;5;6;4;2;2;2;4;4;2;6;5;20;12;7;8;8;7
43;10;11;2;8;6;4;2;2;2;5;5;2;8;4;15;12;4;9;7;6
44;11;14;4;10;6;7;2;2;2;5;3;2;5;6;14;7;6;10;5;6
45;9;15;6;7;5;3;3;2;2;4;3;2;5;4;10;6;5;7;5;6
46;11;15;7;8;5;4;3;2;2;4;3;3;4;6;17;4;4;5;6;7
47;9;15;6;7;7;5;2;2;2;2;6;2;5;4;13;4;7;8;10;8
48;11;18;5;7;4;4;2;2;2;3;8;2;4;3;16;4;6;12;8;6
49;12;17;6;6;3;3;2;3;2;4;7;2;4;1;15;6;4;15;12;5
50;8;15;4;8;3;1;3;3;2;3;11;1;4;2;9;4;6;9;10;6
51;9;14;6;9;4;0;2;3;2;2;2;1;5;1;12;7;7;5;8;2
52;7;13;3;9;4;0;2;3;2;5;3;0;4;1;11;11;7;5;6;4
53;7;16;4;9;6;0;2;4;3;2;4;0;4;1;15;9;7;2;5;2
54;6;14;3;11;6;0;4;3;3;4;4;0;4;1;8;8;10;2;3;2
55;6;16;3;11;4;0;2;3;2;3;2;0;5;1;7;11;9;3;4;3
56;6;14;4;10;6;0;2;1;2;2;2;0;6;1;3;9;9;3;3;5
57;4;12;3;9;6;0;3;1;2;1;2;0;4;1;3;8;13;5;4;4
58;4;9;5;9;4;0;6;1;2;2;3;0;3;0;2;7;10;5;6;2
59;2;14;4;20;6;0;5;1;1;2;5;0;4;0;2;6;8;4;4;1
60;3;12;3;13;5;0;5;1;1;1;4;0;4;0;3;7;7;10;2;1
61;3;10;0;11;6;0;3;1;1;1;6;0;4;0;2;6;4;9;2;2
62;1;10;0;9;11;0;4;1;2;1;4;0;4;0;1;5;4;7;3;2
63;3;12;0;10;7;0;3;1;1;1;4;0;4;0;0;5;2;9;5;1
64;3;11;0;10;8;0;5;1;1;1;4;0;5;0;0;5;3;12;4;1
65;1;12;0;9;8;0;5;1;1;1;4;0;5;0;0;6;3;8;4;1
66;3;10;0;6;9;0;4;1;1;1;5;0;4;0;0;3;2;11;4;1
67;4;10;0;7;8;0;5;1;0;1;4;0;6;0;0;5;2;7;3;1
68;4;9;0;8;8;0;4;1;0;1;5;0;3;0;0;4;2;6;4;1
69;2;7;0;9;8;0;7;1;0;3;4;0;3;0;0;3;3;4;4;1
70;2;6;0;5;4;0;3;1;0;0;5;0;4;0;0;4;5;2;6;0
71;3;7;0;4;6;0;2;0;0;0;4;0;5;0;0;4;2;3;2;0
72;2;9;0;4;8;0;3;0;0;0;4;0;4;0;0;3;3;3;2;0
73;2;7;0;1;6;0;4;0;0;0;4;0;7;0;0;3;2;3;2;0
74;1;6;0;1;3;0;2;0;0;0;4;0;5;0;0;3;3;4;3;0
75;1;7;0;2;3;0;0;0;0;0;5;0;6;0;0;6;4;4;5;0
76;1;5;0;2;3;0;0;0;0;0;5;0;1;0;0;4;1;4;4;0
77;1;5;0;1;3;0;0;0;0;0;3;0;1;0;0;6;1;5;2;0
78;3;6;0;4;4;0;0;0;0;0;5;0;1;0;0;3;2;3;2;0
79;1;6;0;2;6;0;0;0;0;0;6;0;2;0;0;2;2;3;3;0
80;2;6;0;1;7;0;0;0;0;0;5;0;1;0;0;2;0;3;2;0
81;2;5;0;2;7;0;0;0;0;0;3;0;1;0;0;3;0;2;2;0
82;1;5;0;3;4;0;0;0;0;0;6;0;1;0;0;4;0;0;3;0
83;1;5;0;2;6;0;0;0;0;0;5;0;1;0;0;1;0;1;1;0
84;1;5;0;1;7;0;0;0;0;0;3;0;1;0;0;1;0;3;1;0
85;1;6;0;1;5;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0
86;1;5;0;1;11;0;0;0;0;0;3;0;2;0;0;1;0;0;0;0
87;1;4;0;1;9;0;0;0;0;0;4;0;2;0;0;1;0;1;0;0
88;1;3;0;1;7;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0
89;1;3;0;1;4;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0
90;2;3;0;1;4;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0
91;1;3;0;1;2;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0
92;1;3;0;2;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
93;1;5;0;1;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0
94;1;4;0;1;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
95;0;3;0;1;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
96;0;3;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
97;0;2;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
98;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
99;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
100;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
101;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
