Radius;Image82;Image83;Image84;Image85;Image86;Image87;Image88;Image89;Image90;Image91;Image92;Image93;Image94;Image95;Image96;Image97;Image98;Image99;Image100;Image101
10;7;8;3;2;9;3;6;13;1;7;1;10;3;2;3;2;4;6;4;13
11;10;7;10;3;10;5;9;11;2;7;2;9;6;7;1;4;5;6;4;13
12;12;11;5;2;7;4;4;12;5;6;3;6;10;7;1;2;6;13;10;10
13;12;6;7;2;8;5;8;15;8;6;4;12;12;9;1;3;6;17;6;12
14;8;6;6;8;8;6;9;15;6;8;3;16;7;7;1;2;7;21;7;16
15;8;10;4;8;7;6;8;19;11;8;3;9;11;9;2;3;10;20;9;15
16;12;12;5;4;11;8;18;18;11;6;5;17;11;15;4;3;6;23;15;11
17;14;17;10;3;10;10;13;22;12;7;13;13;12;13;8;6;6;23;12;16
18;10;10;10;4;12;7;17;16;7;5;15;11;12;8;6;5;7;21;12;16
19;16;12;7;5;12;8;19;16;10;4;17;12;13;4;9;10;12;25;18;17
20;14;8;8;5;12;10;20;16;7;6;21;10;10;8;14;9;8;23;22;21
21;22;10;7;4;18;8;14;18;8;5;17;11;12;13;14;10;11;28;21;25
22;23;10;11;4;10;8;15;13;7;8;16;12;13;11;26;12;11;31;20;27
23;27;10;7;6;9;5;13;19;8;7;16;16;14;12;32;13;10;31;19;26
24;24;11;11;5;15;4;19;15;4;7;13;25;10;9;40;18;13;30;18;22
25;27;8;13;6;15;9;23;16;9;7;16;21;12;10;31;15;6;30;16;25
26;27;10;10;6;13;11;26;20;10;7;20;20;12;8;35;11;6;33;17;25
27;25;7;9;8;15;7;14;9;12;7;17;16;12;9;32;10;6;30;19;22
28;35;9;16;10;7;8;11;10;9;8;16;19;12;10;32;8;11;32;21;21
29;28;8;11;8;13;9;12;10;8;8;9;13;11;7;22;7;14;29;17;20
30;27;10;16;13;7;9;5;8;9;8;10;14;16;5;27;10;12;27;13;21
31;25;13;11;7;7;10;8;14;12;6;10;12;17;6;22;9;12;28;12;21
32;24;12;11;8;9;9;4;11;8;6;5;13;14;7;24;13;15;18;16;25
33;27;13;11;7;14;10;5;11;8;5;7;14;11;13;34;11;18;17;11;26
34;25;12;14;7;8;4;8;13;9;6;5;14;10;7;23;11;16;16;7;24
35;22;9;10;8;10;6;5;13;7;8;8;17;10;6;20;10;16;18;17;26
