Radius;Image102;Image103;Image104;Image105;Image106;Image107;Image108;Image109;Image110;Image111;Image112;Image113;Image114;Image115;Image116;Image117;Image118;Image119;Image120;Image121
10;1;3;10;8;7;5;7;3;5;2;3;6;10;5;1;3;12;9;3;5
11;1;4;11;8;9;11;9;8;4;3;2;9;8;5;1;4;11;8;3;4
12;6;6;10;8;8;3;9;9;5;4;2;4;8;5;1;6;12;12;6;4
13;7;10;12;10;11;5;7;14;4;10;2;5;10;8;1;5;13;10;5;3
14;10;6;15;17;11;4;5;8;4;10;3;9;9;5;1;8;12;9;8;4
15;9;11;15;13;13;5;6;17;7;8;4;11;7;6;3;16;15;10;6;11
16;9;7;17;16;16;6;7;19;9;12;8;10;9;7;2;13;19;9;10;5
17;16;14;16;13;18;4;8;21;7;18;11;10;16;8;2;18;19;13;9;5
18;13;15;20;12;22;3;7;20;11;17;11;7;11;8;5;14;19;15;14;5
19;18;17;22;14;11;3;9;18;11;14;14;6;9;11;5;20;21;20;15;5
20;20;16;18;10;12;4;9;18;8;23;13;8;12;8;7;22;19;16;16;7
21;20;15;19;6;14;5;9;21;10;14;17;9;13;12;8;27;19;18;11;6
22;12;15;20;7;12;2;10;20;13;11;14;7;12;9;9;26;19;20;10;8
23;11;13;17;5;11;2;9;23;15;11;12;8;6;12;10;27;17;24;15;10
24;14;14;26;12;13;4;9;21;15;15;16;10;8;13;11;29;19;17;16;7
25;23;13;25;14;22;5;8;24;15;18;23;12;9;15;12;34;26;14;18;9
26;19;16;21;15;19;3;6;17;9;16;19;18;14;12;8;31;22;13;12;11
27;20;17;24;11;17;3;9;24;11;15;18;9;12;11;9;32;26;16;17;10
28;19;24;27;11;18;6;5;18;12;15;16;13;7;11;14;25;25;12;14;10
29;14;23;24;13;14;4;5;12;9;18;17;10;11;12;16;29;29;16;14;7
30;12;25;19;8;16;4;8;12;7;16;18;9;15;11;14;22;33;11;20;12
31;15;23;21;10;21;3;8;14;6;14;17;12;14;13;15;27;32;15;25;9
32;15;21;26;11;24;8;9;9;6;16;20;15;10;15;19;24;26;8;22;9
33;15;25;20;10;25;8;9;10;8;19;18;11;9;14;22;28;23;6;14;8
34;11;28;27;9;19;5;8;14;7;15;17;10;9;11;16;26;24;6;11;7
35;9;24;23;10;16;6;8;18;6;15;15;14;6;14;16;21;25;7;10;8
36;7;24;19;9;18;3;8;16;5;15;16;17;8;10;22;24;19;8;12;9
37;6;23;27;13;13;8;8;11;5;15;14;10;6;14;16;23;15;5;13;10
38;9;24;33;12;11;12;13;10;6;12;20;13;11;12;17;21;18;8;9;10
39;11;20;35;12;17;6;12;8;5;8;22;12;13;12;15;17;18;7;8;7
40;11;26;30;10;17;5;8;9;4;5;23;18;7;7;15;22;15;5;10;9
41;12;21;27;7;12;10;7;10;5;7;21;18;8;10;11;21;13;6;10;7
42;13;24;28;9;15;7;6;11;4;5;27;19;13;8;12;20;11;2;9;7
43;16;20;28;8;14;7;6;11;6;9;18;19;14;7;11;15;13;3;10;8
44;13;16;23;9;11;10;5;5;6;6;20;13;17;8;16;16;16;2;10;10
45;12;19;25;6;15;11;7;8;4;3;20;14;14;7;12;16;13;2;9;11
46;17;19;23;6;11;10;6;9;5;8;17;18;14;5;14;12;15;4;10;11
47;15;14;18;5;11;6;6;10;6;6;19;17;19;6;15;15;14;3;10;10
48;10;16;19;5;13;9;8;7;7;8;17;19;14;5;13;17;14;6;9;13
49;9;11;17;5;18;8;5;9;9;6;25;30;18;8;13;17;15;3;14;5
50;10;10;14;5;14;3;5;12;7;6;28;26;17;6;22;17;11;3;14;4
51;14;10;15;6;13;5;4;7;8;7;33;21;10;11;19;17;11;4;11;5
52;12;11;13;4;14;6;5;4;10;6;32;22;7;9;15;16;7;2;14;7
53;18;11;14;4;18;4;8;4;5;5;27;29;12;8;14;15;8;2;14;4
54;16;15;12;4;18;7;10;5;6;2;31;30;8;8;14;10;11;2;14;3
55;20;13;12;2;17;9;8;3;6;2;33;27;10;9;14;11;8;1;12;5
56;6;11;16;3;15;6;8;4;7;1;42;21;7;11;13;13;7;1;12;3
57;8;13;16;2;16;6;8;5;6;1;34;25;7;11;14;8;5;1;11;3
58;7;10;17;2;15;5;5;3;5;1;30;19;9;13;15;8;2;0;10;3
59;5;9;14;2;16;7;5;3;6;1;28;26;7;14;15;7;2;0;13;6
60;6;9;14;0;17;6;6;2;8;1;28;18;9;11;19;10;2;0;12;6
61;8;13;13;0;15;8;5;6;8;2;34;17;11;11;17;6;2;0;10;3
62;10;10;13;0;20;6;8;4;7;2;32;24;7;10;13;8;3;0;8;5
63;7;10;14;0;16;7;8;2;9;3;29;25;7;6;14;6;3;0;11;3
64;6;10;16;0;20;8;5;3;8;3;27;23;8;9;14;5;5;0;17;3
65;6;13;16;0;20;8;5;2;8;3;28;21;5;12;14;5;3;0;15;3
66;10;6;18;0;19;10;11;3;10;3;25;24;3;7;17;3;3;0;7;4
67;9;8;17;0;18;13;9;4;7;3;23;20;8;5;17;1;3;0;6;6
68;6;13;15;0;15;18;7;3;8;2;22;15;5;8;14;1;3;0;7;3
69;4;9;17;0;12;13;7;2;7;2;30;22;7;15;16;1;4;0;10;4
70;7;13;11;0;7;11;8;2;7;1;20;27;3;11;29;1;3;0;8;3
71;5;11;9;0;8;12;6;2;11;1;30;24;3;8;13;1;2;0;8;3
72;5;14;10;0;12;10;12;2;7;2;23;23;3;3;15;1;2;0;8;5
73;3;10;12;0;8;12;8;1;8;2;31;19;5;4;9;1;2;0;11;6
74;4;8;8;0;9;10;6;1;9;2;20;17;8;5;10;0;2;0;8;6
75;6;9;8;0;9;7;4;0;7;0;23;23;7;1;6;0;2;0;8;6
76;4;7;6;0;13;7;4;0;8;0;19;10;7;2;7;0;2;0;7;4
77;3;11;6;0;12;9;6;0;5;0;14;7;3;2;8;0;2;0;16;4
78;3;7;3;0;7;11;6;0;10;0;14;7;3;2;10;0;3;0;10;4
79;4;5;4;0;3;7;3;0;4;0;16;9;4;3;13;0;2;0;10;3
80;2;6;6;0;3;12;2;0;4;0;11;11;5;0;8;0;1;0;11;2
81;0;8;5;0;3;7;3;0;5;0;13;11;7;0;8;0;0;0;12;6
82;0;6;6;0;3;8;3;0;6;0;9;5;6;0;6;0;0;0;11;2
83;0;6;5;0;6;4;5;0;7;0;14;5;5;0;2;0;0;0;6;2
84;0;7;4;0;9;7;5;0;6;0;15;10;5;0;2;0;0;0;8;2
85;0;4;3;0;9;7;8;0;8;0;11;8;9;0;4;0;0;0;8;1
86;0;7;3;0;8;5;5;0;8;0;14;10;5;0;2;0;0;0;12;1
87;0;3;2;0;9;11;5;0;9;0;12;5;4;0;2;0;0;0;11;1
88;0;2;2;0;9;7;2;0;5;0;13;6;3;0;3;0;0;0;11;1
89;0;1;1;0;7;6;2;0;6;0;12;5;4;0;2;0;0;0;9;0
90;0;0;2;0;5;10;2;0;9;0;16;7;3;0;3;0;0;0;11;0
91;0;0;2;0;6;5;3;0;13;0;18;6;2;0;3;0;0;0;9;0
92;0;0;2;0;6;6;3;0;6;0;19;7;2;0;3;0;0;0;6;0
93;0;0;2;0;7;3;5;0;5;0;14;5;2;0;2;0;0;0;8;0
94;0;0;1;0;5;4;2;0;4;0;11;3;3;0;0;0;0;0;4;0
95;0;0;1;0;6;2;2;0;5;0;12;4;4;0;0;0;0;0;4;0
96;0;0;3;0;3;3;2;0;5;0;10;4;3;0;0;0;0;0;4;0
97;0;0;1;0;2;2;2;0;4;0;13;4;3;0;0;0;0;0;3;0
98;0;0;1;0;5;3;3;0;6;0;9;4;5;0;0;0;0;0;4;0
99;0;0;1;0;3;2;1;0;4;0;8;6;3;0;0;0;0;0;3;0
100;0;0;1;0;3;2;1;0;2;0;10;3;2;0;0;0;0;0;3;0
101;0;0;1;0;2;3;1;0;3;0;5;3;2;0;0;0;0;0;3;0
102;0;0;1;0;2;3;1;0;5;0;9;4;3;0;0;0;0;0;2;0
103;0;0;1;0;4;3;1;0;4;0;4;3;2;0;0;0;0;0;2;0
104;0;0;1;0;3;4;2;0;3;0;8;2;1;0;1;0;0;0;2;0
105;0;0;1;0;3;3;0;0;2;0;3;1;1;0;0;0;0;0;1;0
106;0;0;1;0;3;1;0;0;2;0;4;2;3;0;0;0;0;0;1;0
107;0;0;1;0;2;1;0;0;4;0;5;0;2;0;0;0;0;0;4;0
108;0;0;0;0;2;1;0;0;8;0;4;0;2;0;0;0;0;0;2;0
109;0;0;0;0;1;1;0;0;2;0;2;0;0;0;0;0;0;0;4;0
110;0;0;0;0;2;1;0;0;4;0;1;0;0;0;0;0;0;0;2;0
111;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0
112;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
113;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
114;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0
115;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
116;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
117;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0
119;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
121;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
123;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
