Radius;Image68;Image69;Image70;Image71;Image72;Image73;Image74;Image75;Image76;Image77;Image78;Image79;Image80;Image81;Image82;Image83;Image84;Image85;Image86;Image87;Image88;Image89;Image90;Image91;Image92;Image93;Image94;Image95
10;2;4;1;1;5;1;1;1;2;1;11;6;8;5;6;11;1;4;13;13;6;12;1;8;4;8;1;4
11;3;3;2;2;7;1;1;1;10;1;14;6;12;6;13;9;1;7;6;19;5;8;2;7;10;7;1;4
12;4;6;4;2;11;2;6;1;13;1;19;10;13;11;12;11;1;10;9;21;7;7;3;7;15;11;7;5
13;5;6;5;3;13;3;6;1;15;4;17;12;13;5;10;17;1;7;13;22;5;9;3;11;13;10;11;10
14;7;8;6;2;10;3;7;7;13;3;10;14;14;6;12;13;2;14;14;15;8;7;5;10;11;16;9;11
15;6;6;7;2;9;5;11;10;19;2;12;15;13;9;17;14;1;12;16;17;7;11;7;10;13;10;12;14
16;7;7;8;2;9;7;10;9;18;4;15;19;12;9;14;9;1;11;14;19;5;13;6;8;14;15;20;16
17;6;14;8;5;12;11;11;11;19;5;18;16;7;14;14;11;1;14;17;18;6;9;11;13;10;16;21;13
18;9;16;13;7;11;9;13;18;14;7;13;11;6;17;19;9;1;14;19;19;10;10;12;17;12;16;28;17
19;8;14;10;8;12;9;16;22;22;8;15;19;6;20;15;3;3;16;21;15;7;7;11;19;12;14;33;19
20;7;9;17;10;14;11;14;19;27;10;15;14;4;14;17;5;5;14;17;19;8;8;19;19;15;16;32;20
21;11;7;14;10;13;15;14;19;27;11;29;10;7;19;16;5;6;21;16;23;8;6;18;18;16;16;43;22
22;10;7;15;9;16;13;17;15;26;11;34;13;10;12;17;4;10;11;17;22;6;12;23;13;20;14;43;18
23;11;7;15;14;12;19;15;24;30;13;26;13;9;12;22;2;8;9;24;23;4;9;20;12;20;16;38;22
24;16;11;17;14;23;22;18;25;26;13;31;13;10;14;21;4;12;13;24;22;5;8;23;12;20;18;45;25
25;11;10;12;15;19;30;19;21;20;12;33;13;16;13;19;4;17;16;21;21;6;11;19;12;19;20;39;27
26;17;9;13;14;20;31;23;18;25;12;35;15;9;10;27;9;18;14;28;26;7;11;21;13;22;21;43;21
27;12;9;24;13;18;27;21;19;30;14;30;14;14;11;28;5;18;11;25;28;10;13;19;19;25;26;46;27
28;17;8;19;8;20;18;17;27;20;13;36;12;18;9;22;5;20;14;20;31;7;11;24;16;23;21;55;25
