Radius;Image116;Image117;Image118;Image119;Image120;Image121;Image122;Image123;Image124;Image125;Image126;Image127;Image128;Image129;Image130;Image131;Image132;Image133;Image134;Image135;Image136;Image137;Image138
10;8;8;16;6;4;7;6;5;9;1;1;8;1;2;1;4;2;1;3;3;10;5;2
11;6;8;14;8;6;8;5;5;9;1;1;11;2;2;1;4;2;2;6;3;13;6;2
12;8;13;15;11;6;10;6;5;8;1;1;8;2;2;1;5;5;3;7;8;13;7;2
13;8;14;15;7;9;8;9;9;8;5;1;9;4;3;1;7;4;5;9;6;16;7;6
14;8;18;13;10;8;8;10;6;9;6;1;12;3;4;1;8;2;6;10;11;15;9;5
15;12;15;14;12;7;15;13;10;7;9;3;11;3;7;1;7;4;6;13;11;16;12;10
16;12;13;14;11;9;15;9;10;8;8;3;13;4;5;6;8;5;14;17;13;20;14;19
17;10;18;17;9;12;11;8;7;11;9;7;10;8;3;3;12;9;11;15;9;15;14;25
18;12;14;18;14;12;11;8;7;8;9;11;11;8;3;10;9;7;12;18;7;18;10;24
19;13;20;18;14;13;12;8;8;11;8;12;10;10;5;14;13;8;15;15;11;14;6;14
20;10;19;13;8;16;10;7;10;11;10;11;10;7;9;18;12;8;16;15;8;18;8;11
21;12;18;11;9;14;11;9;9;12;7;12;10;9;9;22;10;9;26;15;8;18;7;11
22;9;17;14;9;12;12;6;6;15;7;22;13;6;10;23;5;9;25;20;11;20;8;11
23;10;18;12;8;15;12;10;6;13;7;21;11;9;8;25;5;7;25;22;10;22;10;9
24;9;21;7;12;14;14;11;7;17;7;17;12;9;7;26;4;11;27;18;10;15;13;9
25;7;19;7;12;15;10;13;7;14;7;19;13;10;4;31;11;9;27;18;12;19;15;12
26;9;24;9;9;12;11;10;9;11;7;18;13;9;7;27;10;11;25;23;13;19;16;14
27;9;22;8;7;13;14;10;8;14;6;19;14;9;11;26;14;17;28;25;11;19;15;11
28;9;32;11;12;11;11;10;6;16;6;20;11;9;9;26;14;14;28;25;9;19;16;15
29;12;30;12;10;11;10;12;7;20;8;20;14;11;6;26;12;11;23;20;13;13;14;17
30;13;27;8;15;15;10;11;9;16;7;25;15;12;4;25;15;13;25;21;10;15;10;16
31;14;32;7;10;11;9;11;8;17;7;21;11;12;4;31;12;16;20;28;6;11;12;11
32;13;28;7;7;14;9;12;6;14;7;20;11;15;3;29;22;19;20;24;14;10;11;16
33;12;21;9;9;16;11;6;8;17;9;17;12;7;5;17;27;16;19;26;16;8;11;21
34;9;27;9;13;13;9;6;9;15;7;16;9;12;6;27;24;16;17;31;14;8;10;18
35;9;25;6;9;13;10;8;7;13;7;20;10;10;3;33;24;16;17;32;11;9;8;18
36;5;22;5;8;18;8;6;7;11;6;20;11;8;4;27;27;14;15;35;10;10;8;21
37;6;20;5;9;21;10;9;9;7;6;31;9;9;4;20;34;12;12;30;10;4;8;20
38;9;25;5;10;15;13;11;7;7;6;32;10;9;4;29;36;15;13;26;8;6;10;21
39;4;22;4;7;12;16;13;12;9;6;20;12;8;3;22;38;12;10;25;9;5;10;18
